Country,Clicks,Impressions,CTR,Position
United States,3,532,0.56%,20.52
Germany,1,39,2.56%,10.87
Brazil,0,49,0%,9.9
United Kingdom,0,38,0%,13.58
Canada,0,33,0%,31.61
Netherlands,0,30,0%,8.33
France,0,24,0%,7.92
Japan,0,22,0%,8.05
South Korea,0,21,0%,7.81
India,0,19,0%,19.68
Spain,0,17,0%,9.35
Australia,0,15,0%,8.8
Philippines,0,14,0%,29.64
Vietnam,0,13,0%,35
Indonesia,0,12,0%,53.25
Mexico,0,11,0%,6.45
Italy,0,11,0%,11.36
Belgium,0,9,0%,7.44
Ukraine,0,9,0%,7.89
Argentina,0,8,0%,7.5
Russia,0,7,0%,5.29
Poland,0,7,0%,8
Colombia,0,7,0%,8.86
Romania,0,6,0%,8.17
Turkey,0,6,0%,8.5
Norway,0,6,0%,8.83
Denmark,0,6,0%,9.5
Switzerland,0,6,0%,11.17
Thailand,0,6,0%,12.17
Austria,0,5,0%,6.2
Portugal,0,5,0%,9.8
United Arab Emirates,0,5,0%,10
Sweden,0,4,0%,6.75
Czechia,0,4,0%,7
Singapore,0,4,0%,8.25
Peru,0,4,0%,8.5
China,0,4,0%,9
Dominican Republic,0,4,0%,11.75
Hong Kong,0,4,0%,27.5
Hungary,0,3,0%,6.67
Greece,0,3,0%,7.33
Lithuania,0,3,0%,7.67
Pakistan,0,3,0%,7.67
Iraq,0,3,0%,8
Malaysia,0,3,0%,8
Israel,0,3,0%,8.67
Bangladesh,0,3,0%,10.33
Venezuela,0,3,0%,11.67
Saudi Arabia,0,3,0%,14.67
Algeria,0,3,0%,23.33
Serbia,0,2,0%,5
Bulgaria,0,2,0%,7
Somalia,0,2,0%,7.5
Slovakia,0,2,0%,7.5
Taiwan,0,2,0%,7.5
Ireland,0,2,0%,8
Estonia,0,2,0%,9.5
Trinidad & Tobago,0,2,0%,9.5
Chile,0,2,0%,10
El Salvador,0,1,0%,3
St. Vincent & Grenadines,0,1,0%,3
Uzbekistan,0,1,0%,4
Ecuador,0,1,0%,5
Kenya,0,1,0%,5
Lebanon,0,1,0%,6
Latvia,0,1,0%,7
Puerto Rico,0,1,0%,7
Unknown Region,0,1,0%,7
Croatia,0,1,0%,8
Tunisia,0,1,0%,8
Belarus,0,1,0%,9
Finland,0,1,0%,9
Honduras,0,1,0%,9
Malta,0,1,0%,9
Slovenia,0,1,0%,9
Kosovo,0,1,0%,9
Bosnia & Herzegovina,0,1,0%,10
Paraguay,0,1,0%,10
Liberia,0,1,0%,11
Kazakhstan,0,1,0%,12
Nepal,0,1,0%,12
Mali,0,1,0%,51
